,Disease,Symptom1,Symptom2,Symptom3,Symptom4
36,Chronic cholestasis,itching, vomiting, yellowishskin, nausea
37,Chronic cholestasis,itching, vomiting, yellowishskin, nausea
38,Chronic cholestasis,itching, vomiting, yellowishskin, nausea
39,Chronic cholestasis,itching, vomiting, yellowishskin, nausea
40,Drug Reaction,itching, skinrash, stomachpain, burningmicturition
41,Drug Reaction,itching, stomachpain, burningmicturition, spottingurination
42,Drug Reaction,itching, skinrash, burningmicturition, spottingurination
43,Drug Reaction,itching, skinrash, stomachpain, spottingurination
44,Drug Reaction,itching, skinrash, stomachpain, burningmicturition
45,Drug Reaction, skinrash, stomachpain, burningmicturition, spottingurination
46,Drug Reaction,itching, stomachpain, burningmicturition, spottingurination
47,Drug Reaction,itching, skinrash, burningmicturition, spottingurination
48,Drug Reaction,itching, skinrash, stomachpain, spottingurination
49,Drug Reaction,itching, skinrash, stomachpain, burningmicturition
50,Peptic ulcer diseae, vomiting, lossofappetite, abdominalpain, passageofgases
51,Peptic ulcer diseae, vomiting, indigestion, abdominalpain, passageofgases
52,Peptic ulcer diseae, indigestion, lossofappetite, abdominalpain, passageofgases
53,Peptic ulcer diseae, vomiting, lossofappetite, abdominalpain, passageofgases
54,Peptic ulcer diseae, vomiting, indigestion, abdominalpain, passageofgases
55,Peptic ulcer diseae, vomiting, indigestion, lossofappetite, passageofgases
56,Peptic ulcer diseae, vomiting, indigestion, lossofappetite, abdominalpain
57,Peptic ulcer diseae, vomiting, indigestion, lossofappetite, abdominalpain
58,Peptic ulcer diseae, vomiting, indigestion, lossofappetite, abdominalpain
59,Peptic ulcer diseae, vomiting, indigestion, lossofappetite, abdominalpain
60,AIDS, musclewasting, patchesinthroat, highfever, extramaritalcontacts
61,AIDS, patchesinthroat, highfever, extramaritalcontacts,
62,AIDS, musclewasting, highfever, extramaritalcontacts,
63,AIDS, musclewasting, patchesinthroat, extramaritalcontacts,
64,AIDS, musclewasting, patchesinthroat, highfever,
65,AIDS, musclewasting, patchesinthroat, highfever, extramaritalcontacts
66,AIDS, musclewasting, patchesinthroat, highfever, extramaritalcontacts
67,AIDS, patchesinthroat, highfever, extramaritalcontacts,
68,AIDS, musclewasting, highfever, extramaritalcontacts,
69,AIDS, musclewasting, patchesinthroat, highfever,
70,Diabetes , fatigue, weightloss, restlessness, lethargy
71,Diabetes , fatigue, weightloss, restlessness, lethargy
72,Diabetes , weightloss, restlessness, lethargy, irregularsugarlevel
73,Diabetes , fatigue, restlessness, lethargy, irregularsugarlevel
74,Diabetes , fatigue, weightloss, lethargy, irregularsugarlevel
75,Diabetes , fatigue, weightloss, restlessness, irregularsugarlevel
76,Diabetes , fatigue, weightloss, restlessness, lethargy
77,Diabetes , fatigue, weightloss, restlessness, lethargy
78,Diabetes , fatigue, weightloss, restlessness, lethargy
79,Diabetes , fatigue, weightloss, restlessness, lethargy
80,Gastroenteritis, vomiting, sunkeneyes, dehydration, diarrhoea
81,Gastroenteritis, vomiting, sunkeneyes, dehydration, diarrhoea
82,Gastroenteritis, sunkeneyes, dehydration, diarrhoea,
83,Gastroenteritis, vomiting, dehydration, diarrhoea,
84,Gastroenteritis, vomiting, sunkeneyes, diarrhoea,
85,Gastroenteritis, vomiting, sunkeneyes, dehydration,
86,Gastroenteritis, vomiting, sunkeneyes, dehydration, diarrhoea
87,Gastroenteritis, sunkeneyes, dehydration, diarrhoea,
88,Gastroenteritis, vomiting, dehydration, diarrhoea,
89,Gastroenteritis, vomiting, sunkeneyes, diarrhoea,
90,Bronchial Asthma, fatigue, cough, highfever, breathlessness
91,Bronchial Asthma, cough, highfever, breathlessness, familyhistory
92,Bronchial Asthma, fatigue, highfever, breathlessness, familyhistory
93,Bronchial Asthma, fatigue, cough, breathlessness, familyhistory
94,Bronchial Asthma, fatigue, cough, highfever, familyhistory
95,Bronchial Asthma, fatigue, cough, highfever, breathlessness
96,Bronchial Asthma, fatigue, cough, highfever, breathlessness
97,Bronchial Asthma, fatigue, cough, highfever, breathlessness
98,Bronchial Asthma, cough, highfever, breathlessness, familyhistory
99,Bronchial Asthma, fatigue, highfever, breathlessness, familyhistory
100,Hypertension , headache, chestpain, dizziness, lossofbalance
101,Hypertension , chestpain, dizziness, lossofbalance, lackofconcentration
102,Hypertension , headache, dizziness, lossofbalance, lackofconcentration
103,Hypertension , headache, chestpain, lossofbalance, lackofconcentration
104,Hypertension , headache, chestpain, dizziness, lackofconcentration
105,Hypertension , headache, chestpain, dizziness, lossofbalance
106,Hypertension , headache, chestpain, dizziness, lossofbalance
107,Hypertension , chestpain, dizziness, lossofbalance, lackofconcentration
108,Hypertension , headache, dizziness, lossofbalance, lackofconcentration
109,Hypertension , headache, chestpain, lossofbalance, lackofconcentration
110,Migraine, acidity, indigestion, headache, blurredanddistortedvision
111,Migraine, indigestion, headache, blurredanddistortedvision, excessivehunger
112,Migraine, acidity, headache, blurredanddistortedvision, excessivehunger
113,Migraine, acidity, indigestion, blurredanddistortedvision, excessivehunger
114,Migraine, acidity, indigestion, headache, excessivehunger
115,Migraine, acidity, indigestion, headache, blurredanddistortedvision
116,Migraine, acidity, indigestion, headache, blurredanddistortedvision
117,Migraine, acidity, indigestion, headache, blurredanddistortedvision
118,Migraine, acidity, indigestion, headache, blurredanddistortedvision
119,Migraine, acidity, indigestion, headache, blurredanddistortedvision
120,Cervical spondylosis, backpain, weaknessinlimbs, neckpain, dizziness
121,Cervical spondylosis, backpain, weaknessinlimbs, neckpain, dizziness
122,Cervical spondylosis, weaknessinlimbs, neckpain, dizziness, lossofbalance
123,Cervical spondylosis, backpain, neckpain, dizziness, lossofbalance
124,Cervical spondylosis, backpain, weaknessinlimbs, dizziness, lossofbalance
125,Cervical spondylosis, backpain, weaknessinlimbs, neckpain, lossofbalance
126,Cervical spondylosis, backpain, weaknessinlimbs, neckpain, dizziness
127,Cervical spondylosis, backpain, weaknessinlimbs, neckpain, dizziness
128,Cervical spondylosis, weaknessinlimbs, neckpain, dizziness, lossofbalance
129,Cervical spondylosis, backpain, neckpain, dizziness, lossofbalance
130,Paralysis (brain hemorrhage), vomiting, headache, weaknessofonebodyside, alteredsensorium
131,Paralysis (brain hemorrhage), vomiting, headache, weaknessofonebodyside, alteredsensorium
132,Paralysis (brain hemorrhage), headache, weaknessofonebodyside, alteredsensorium,
133,Paralysis (brain hemorrhage), vomiting, weaknessofonebodyside, alteredsensorium,
134,Paralysis (brain hemorrhage), vomiting, headache, alteredsensorium,
135,Paralysis (brain hemorrhage), vomiting, headache, weaknessofonebodyside,
136,Paralysis (brain hemorrhage), vomiting, headache, weaknessofonebodyside, alteredsensorium
137,Paralysis (brain hemorrhage), headache, weaknessofonebodyside, alteredsensorium,
138,Paralysis (brain hemorrhage), vomiting, weaknessofonebodyside, alteredsensorium,
139,Paralysis (brain hemorrhage), vomiting, headache, alteredsensorium,
140,Jaundice,itching, vomiting, fatigue, weightloss
141,Jaundice,itching, vomiting, fatigue, weightloss
142,Jaundice, vomiting, fatigue, weightloss, highfever
143,Jaundice,itching, fatigue, weightloss, highfever
144,Jaundice,itching, vomiting, weightloss, highfever
145,Jaundice,itching, vomiting, fatigue, highfever
146,Jaundice,itching, vomiting, fatigue, weightloss
147,Jaundice,itching, vomiting, fatigue, weightloss
148,Jaundice,itching, vomiting, fatigue, weightloss
149,Jaundice,itching, vomiting, fatigue, weightloss
150,Malaria, chills, vomiting, highfever, sweating
151,Malaria, chills, vomiting, highfever, sweating
152,Malaria, chills, vomiting, highfever, sweating
153,Malaria, vomiting, highfever, sweating, headache
154,Malaria, chills, highfever, sweating, headache
155,Malaria, chills, vomiting, sweating, headache
156,Malaria, chills, vomiting, highfever, headache
157,Malaria, chills, vomiting, highfever, sweating
158,Malaria, chills, vomiting, highfever, sweating
159,Malaria, chills, vomiting, highfever, sweating
160,Chicken pox,itching, skinrash, fatigue, lethargy
161,Chicken pox, skinrash, fatigue, lethargy, highfever
162,Chicken pox,itching, fatigue, lethargy, highfever
163,Chicken pox,itching, skinrash, lethargy, highfever
164,Chicken pox,itching, skinrash, fatigue, highfever
165,Chicken pox,itching, skinrash, fatigue, lethargy
166,Chicken pox,itching, skinrash, fatigue, lethargy
167,Chicken pox,itching, skinrash, fatigue, lethargy
168,Chicken pox,itching, skinrash, fatigue, lethargy
169,Chicken pox,itching, skinrash, fatigue, lethargy
170,Dengue, skinrash, chills, jointpain, vomiting
171,Dengue, skinrash, chills, jointpain, vomiting
172,Dengue, skinrash, chills, jointpain, vomiting
173,Dengue, skinrash, chills, jointpain, vomiting
174,Dengue, chills, jointpain, vomiting, fatigue
175,Dengue, skinrash, jointpain, vomiting, fatigue
176,Dengue, skinrash, chills, vomiting, fatigue
177,Dengue, skinrash, chills, jointpain, fatigue
178,Dengue, skinrash, chills, jointpain, vomiting
179,Dengue, skinrash, chills, jointpain, vomiting
180,Typhoid, chills, vomiting, fatigue, highfever
181,Typhoid, chills, vomiting, fatigue, highfever
182,Typhoid, chills, vomiting, fatigue, highfever
183,Typhoid, chills, vomiting, fatigue, highfever
184,Typhoid, chills, vomiting, fatigue, highfever
185,Typhoid, chills, vomiting, fatigue, highfever
186,Typhoid, chills, vomiting, fatigue, highfever
187,Typhoid, chills, vomiting, fatigue, highfever
188,Typhoid, chills, vomiting, fatigue, highfever
189,Typhoid, chills, fatigue, highfever, headache
190,hepatitis A, jointpain, vomiting, yellowishskin, darkurine
191,hepatitis A, jointpain, vomiting, yellowishskin, darkurine
192,hepatitis A, vomiting, yellowishskin, darkurine, nausea
193,hepatitis A, jointpain, yellowishskin, darkurine, nausea
194,hepatitis A, jointpain, vomiting, darkurine, nausea
195,hepatitis A, jointpain, vomiting, yellowishskin, nausea
196,hepatitis A, jointpain, vomiting, yellowishskin, darkurine
197,hepatitis A, jointpain, vomiting, yellowishskin, darkurine
198,hepatitis A, jointpain, vomiting, yellowishskin, darkurine
199,hepatitis A, jointpain, vomiting, yellowishskin, darkurine
200,Hepatitis B,itching, fatigue, lethargy, yellowishskin
201,Hepatitis B,itching, fatigue, lethargy, yellowishskin
202,Hepatitis B, fatigue, lethargy, yellowishskin, darkurine
203,Hepatitis B,itching, lethargy, yellowishskin, darkurine
204,Hepatitis B,itching, fatigue, yellowishskin, darkurine
205,Hepatitis B,itching, fatigue, lethargy, darkurine
206,Hepatitis B,itching, fatigue, lethargy, yellowishskin
207,Hepatitis B,itching, fatigue, lethargy, yellowishskin
208,Hepatitis B,itching, fatigue, lethargy, yellowishskin
209,Hepatitis B,itching, fatigue, lethargy, yellowishskin
210,Hepatitis C, fatigue, yellowishskin, nausea, lossofappetite
211,Hepatitis C, fatigue, yellowishskin, nausea, lossofappetite
212,Hepatitis C, yellowishskin, nausea, lossofappetite, yellowingofeyes
213,Hepatitis C, fatigue, nausea, lossofappetite, yellowingofeyes
214,Hepatitis C, fatigue, yellowishskin, lossofappetite, yellowingofeyes
215,Hepatitis C, fatigue, yellowishskin, nausea, yellowingofeyes
216,Hepatitis C, fatigue, yellowishskin, nausea, lossofappetite
217,Hepatitis C, fatigue, yellowishskin, nausea, lossofappetite
218,Hepatitis C, fatigue, yellowishskin, nausea, lossofappetite
219,Hepatitis C, fatigue, yellowishskin, nausea, lossofappetite
220,Hepatitis D, jointpain, vomiting, fatigue, yellowishskin
221,Hepatitis D, vomiting, fatigue, yellowishskin, darkurine
222,Hepatitis D, jointpain, fatigue, yellowishskin, darkurine
223,Hepatitis D, jointpain, vomiting, yellowishskin, darkurine
224,Hepatitis D, jointpain, vomiting, fatigue, darkurine
225,Hepatitis D, jointpain, vomiting, fatigue, yellowishskin
226,Hepatitis D, jointpain, vomiting, fatigue, yellowishskin
227,Hepatitis D, jointpain, vomiting, fatigue, yellowishskin
228,Hepatitis D, jointpain, vomiting, fatigue, yellowishskin
229,Hepatitis D, jointpain, vomiting, fatigue, yellowishskin
230,Hepatitis E, jointpain, vomiting, fatigue, highfever
231,Hepatitis E, jointpain, vomiting, fatigue, highfever
232,Hepatitis E, jointpain, vomiting, fatigue, highfever
233,Hepatitis E, vomiting, fatigue, highfever, yellowishskin
234,Hepatitis E, jointpain, fatigue, highfever, yellowishskin
235,Hepatitis E, jointpain, vomiting, highfever, yellowishskin
236,Hepatitis E, jointpain, vomiting, fatigue, yellowishskin
237,Hepatitis E, jointpain, vomiting, fatigue, highfever
238,Hepatitis E, jointpain, vomiting, fatigue, highfever
239,Hepatitis E, jointpain, vomiting, fatigue, highfever
240,Alcoholic hepatitis, vomiting, yellowishskin, abdominalpain, swellingofstomach
241,Alcoholic hepatitis, vomiting, yellowishskin, abdominalpain, swellingofstomach
242,Alcoholic hepatitis, yellowishskin, abdominalpain, swellingofstomach, distentionofabdomen
243,Alcoholic hepatitis, vomiting, abdominalpain, swellingofstomach, distentionofabdomen
244,Alcoholic hepatitis, vomiting, yellowishskin, swellingofstomach, distentionofabdomen
245,Alcoholic hepatitis, vomiting, yellowishskin, abdominalpain, distentionofabdomen
246,Alcoholic hepatitis, vomiting, yellowishskin, abdominalpain, swellingofstomach
247,Alcoholic hepatitis, vomiting, yellowishskin, abdominalpain, swellingofstomach
248,Alcoholic hepatitis, vomiting, yellowishskin, abdominalpain, swellingofstomach
249,Alcoholic hepatitis, vomiting, yellowishskin, abdominalpain, swellingofstomach
250,Tuberculosis, chills, vomiting, fatigue, weightloss
251,Tuberculosis, chills, vomiting, fatigue, weightloss
252,Tuberculosis, vomiting, fatigue, weightloss, cough
253,Tuberculosis, chills, fatigue, weightloss, cough
254,Tuberculosis, chills, vomiting, weightloss, cough
255,Tuberculosis, chills, vomiting, fatigue, cough
256,Tuberculosis, chills, vomiting, fatigue, weightloss
257,Tuberculosis, chills, vomiting, fatigue, weightloss
258,Tuberculosis, chills, vomiting, fatigue, weightloss
259,Tuberculosis, chills, vomiting, fatigue, weightloss
260,Common Cold, continuoussneezing, chills, fatigue, cough
261,Common Cold, continuoussneezing, chills, fatigue, cough
262,Common Cold, chills, fatigue, cough, highfever
263,Common Cold, continuoussneezing, fatigue, cough, highfever
264,Common Cold, continuoussneezing, chills, cough, highfever
265,Common Cold, continuoussneezing, chills, fatigue, highfever
266,Common Cold, continuoussneezing, chills, fatigue, cough
267,Common Cold, continuoussneezing, chills, fatigue, cough
268,Common Cold, continuoussneezing, chills, fatigue, cough
269,Common Cold, continuoussneezing, chills, fatigue, cough
270,Pneumonia, chills, fatigue, cough, highfever
271,Pneumonia, chills, fatigue, cough, highfever
272,Pneumonia, chills, fatigue, cough, highfever
273,Pneumonia, fatigue, cough, highfever, breathlessness
274,Pneumonia, chills, cough, highfever, breathlessness
275,Pneumonia, chills, fatigue, highfever, breathlessness
276,Pneumonia, chills, fatigue, cough, breathlessness
277,Pneumonia, chills, fatigue, cough, highfever
278,Pneumonia, chills, fatigue, cough, highfever
279,Pneumonia, chills, fatigue, cough, highfever
280,Dimorphic hemmorhoids(piles), constipation, painduringbowelmovements, paininanalregion, bloodystool
281,Dimorphic hemmorhoids(piles), constipation, painduringbowelmovements, paininanalregion, bloodystool
282,Dimorphic hemmorhoids(piles), constipation, painduringbowelmovements, paininanalregion, bloodystool
283,Dimorphic hemmorhoids(piles), painduringbowelmovements, paininanalregion, bloodystool, irritationinanus
284,Dimorphic hemmorhoids(piles), constipation, paininanalregion, bloodystool, irritationinanus
285,Dimorphic hemmorhoids(piles), constipation, painduringbowelmovements, bloodystool, irritationinanus
286,Dimorphic hemmorhoids(piles), constipation, painduringbowelmovements, paininanalregion, irritationinanus
287,Dimorphic hemmorhoids(piles), constipation, painduringbowelmovements, paininanalregion, bloodystool
288,Dimorphic hemmorhoids(piles), constipation, painduringbowelmovements, paininanalregion, bloodystool
289,Dimorphic hemmorhoids(piles), constipation, painduringbowelmovements, paininanalregion, bloodystool
290,Heart attack, vomiting, breathlessness, sweating, chestpain
291,Heart attack, vomiting, breathlessness, sweating, chestpain
292,Heart attack, breathlessness, sweating, chestpain,
293,Heart attack, vomiting, sweating, chestpain,
294,Heart attack, vomiting, breathlessness, chestpain,
295,Heart attack, vomiting, breathlessness, sweating,
296,Heart attack, vomiting, breathlessness, sweating, chestpain
297,Heart attack, breathlessness, sweating, chestpain,
298,Heart attack, vomiting, sweating, chestpain,
299,Heart attack, vomiting, breathlessness, chestpain,
300,Varicose veins, fatigue, cramps, bruising, obesity
301,Varicose veins, fatigue, cramps, bruising, obesity
302,Varicose veins, cramps, bruising, obesity, swollenlegs
303,Varicose veins, fatigue, bruising, obesity, swollenlegs
304,Varicose veins, fatigue, cramps, obesity, swollenlegs
305,Varicose veins, fatigue, cramps, bruising, swollenlegs
306,Varicose veins, fatigue, cramps, bruising, obesity
307,Varicose veins, fatigue, cramps, bruising, obesity
308,Varicose veins, fatigue, cramps, bruising, obesity
309,Varicose veins, fatigue, cramps, bruising, obesity
310,Hypothyroidism, fatigue, weightgain, coldhandsandfeets, moodswings
311,Hypothyroidism, fatigue, weightgain, coldhandsandfeets, moodswings
312,Hypothyroidism, weightgain, coldhandsandfeets, moodswings, lethargy
313,Hypothyroidism, weightgain, coldhandsandfeets, moodswings, lethargy
314,Hypothyroidism, fatigue, coldhandsandfeets, moodswings, lethargy
315,Hypothyroidism, fatigue, weightgain, moodswings, lethargy
316,Hypothyroidism, fatigue, weightgain, coldhandsandfeets, lethargy
317,Hypothyroidism, fatigue, weightgain, coldhandsandfeets, moodswings
318,Hypothyroidism, fatigue, weightgain, coldhandsandfeets, moodswings
319,Hypothyroidism, fatigue, weightgain, coldhandsandfeets, moodswings
320,Hyperthyroidism, fatigue, moodswings, weightloss, restlessness
321,Hyperthyroidism, fatigue, moodswings, weightloss, restlessness
322,Hyperthyroidism, moodswings, weightloss, restlessness, sweating
323,Hyperthyroidism, fatigue, weightloss, restlessness, sweating
324,Hyperthyroidism, fatigue, moodswings, restlessness, sweating
325,Hyperthyroidism, fatigue, moodswings, weightloss, sweating
326,Hyperthyroidism, fatigue, moodswings, weightloss, restlessness
327,Hyperthyroidism, fatigue, moodswings, weightloss, restlessness
328,Hyperthyroidism, fatigue, moodswings, weightloss, restlessness
329,Hyperthyroidism, fatigue, moodswings, weightloss, restlessness
330,Hypoglycemia, vomiting, fatigue, anxiety, sweating
331,Hypoglycemia, vomiting, fatigue, anxiety, sweating
332,Hypoglycemia, vomiting, fatigue, anxiety, sweating
333,Hypoglycemia, fatigue, anxiety, sweating, headache
334,Hypoglycemia, vomiting, anxiety, sweating, headache
335,Hypoglycemia, vomiting, fatigue, sweating, headache
336,Hypoglycemia, vomiting, fatigue, anxiety, headache
337,Hypoglycemia, vomiting, fatigue, anxiety, sweating
338,Hypoglycemia, vomiting, fatigue, anxiety, sweating
339,Hypoglycemia, vomiting, fatigue, anxiety, sweating
340,Osteoarthristis, jointpain, neckpain, kneepain, hipjointpain
341,Osteoarthristis, jointpain, neckpain, kneepain, hipjointpain
342,Osteoarthristis, neckpain, kneepain, hipjointpain, swellingjoints
343,Osteoarthristis, jointpain, kneepain, hipjointpain, swellingjoints
344,Osteoarthristis, jointpain, neckpain, hipjointpain, swellingjoints
345,Osteoarthristis, jointpain, neckpain, kneepain, swellingjoints
346,Osteoarthristis, jointpain, neckpain, kneepain, hipjointpain
347,Osteoarthristis, jointpain, neckpain, kneepain, hipjointpain
348,Osteoarthristis, jointpain, neckpain, kneepain, hipjointpain
349,Osteoarthristis, jointpain, neckpain, kneepain, hipjointpain
350,Arthritis, muscleweakness, stiffneck, swellingjoints, movementstiffness
351,Arthritis, muscleweakness, stiffneck, swellingjoints, movementstiffness
352,Arthritis, stiffneck, swellingjoints, movementstiffness, painfulwalking
353,Arthritis, muscleweakness, swellingjoints, movementstiffness, painfulwalking
354,Arthritis, muscleweakness, stiffneck, movementstiffness, painfulwalking
355,Arthritis, muscleweakness, stiffneck, swellingjoints, painfulwalking
356,Arthritis, muscleweakness, stiffneck, swellingjoints, movementstiffness
357,Arthritis, muscleweakness, stiffneck, swellingjoints, movementstiffness
358,Arthritis, muscleweakness, stiffneck, swellingjoints, movementstiffness
359,Arthritis, muscleweakness, stiffneck, swellingjoints, movementstiffness
360,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinningmovements
361,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinningmovements
362,(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinningmovements, lossofbalance
363,(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinningmovements, lossofbalance
364,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinningmovements, lossofbalance
365,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, lossofbalance
366,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinningmovements
367,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinningmovements
368,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinningmovements
369,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, lossofbalance
370,Acne, skinrash, pusfilledpimples, blackheads, scurring
371,Acne, skinrash, pusfilledpimples, blackheads, scurring
372,Acne, pusfilledpimples, blackheads, scurring,
373,Acne, skinrash, blackheads, scurring,
374,Acne, skinrash, pusfilledpimples, scurring,
375,Acne, skinrash, pusfilledpimples, blackheads,
376,Acne, skinrash, pusfilledpimples, blackheads, scurring
377,Acne, skinrash, pusfilledpimples, blackheads,
378,Acne, skinrash, pusfilledpimples, scurring,
379,Acne, skinrash, blackheads, scurring,
380,Urinary tract infection, burningmicturition, bladderdiscomfort, foulsmellofurine, continuousfeelofurine
381,Urinary tract infection, burningmicturition, bladderdiscomfort, foulsmellofurine, continuousfeelofurine
382,Urinary tract infection, bladderdiscomfort, foulsmellofurine, continuousfeelofurine,
383,Urinary tract infection, burningmicturition, foulsmellofurine, continuousfeelofurine,
384,Urinary tract infection, burningmicturition, bladderdiscomfort, continuousfeelofurine,
385,Urinary tract infection, burningmicturition, bladderdiscomfort, foulsmellofurine,
386,Urinary tract infection, burningmicturition, bladderdiscomfort, foulsmellofurine, continuousfeelofurine
387,Urinary tract infection, burningmicturition, bladderdiscomfort, continuousfeelofurine,
388,Urinary tract infection, bladderdiscomfort, foulsmellofurine, continuousfeelofurine,
389,Urinary tract infection, burningmicturition, bladderdiscomfort, continuousfeelofurine,
390,Psoriasis, skinrash, jointpain, skinpeeling, silverlikedusting
391,Psoriasis, skinrash, jointpain, skinpeeling, silverlikedusting
392,Psoriasis, jointpain, skinpeeling, silverlikedusting, smalldentsinnails
393,Psoriasis, skinrash, skinpeeling, silverlikedusting, smalldentsinnails
394,Psoriasis, skinrash, jointpain, silverlikedusting, smalldentsinnails
395,Psoriasis, skinrash, jointpain, skinpeeling, smalldentsinnails
396,Psoriasis, skinrash, jointpain, skinpeeling, silverlikedusting
397,Psoriasis, skinrash, jointpain, skinpeeling, silverlikedusting
398,Psoriasis, skinrash, jointpain, skinpeeling, silverlikedusting
399,Psoriasis, skinrash, jointpain, skinpeeling, silverlikedusting
400,Impetigo, skinrash, highfever, blister, redsorearoundnose
401,Impetigo, skinrash, highfever, blister, redsorearoundnose
402,Impetigo, highfever, blister, redsorearoundnose, yellowcrustooze
403,Impetigo, skinrash, blister, redsorearoundnose, yellowcrustooze
404,Impetigo, skinrash, blister, redsorearoundnose, yellowcrustooze
405,Impetigo, skinrash, highfever, redsorearoundnose, yellowcrustooze
406,Impetigo, skinrash, highfever, blister, yellowcrustooze
407,Impetigo, skinrash, highfever, blister, redsorearoundnose
408,Impetigo, skinrash, highfever, blister, redsorearoundnose
409,Impetigo, skinrash, blister, redsorearoundnose, yellowcrustooze
410,Fungal infection,itching, skinrash, nodalskineruptions, dischromicpatches
411,Fungal infection, skinrash, nodalskineruptions, dischromicpatches,
412,Fungal infection,itching, nodalskineruptions, dischromicpatches,
413,Fungal infection,itching, skinrash, dischromicpatches,
414,Fungal infection,itching, skinrash, nodalskineruptions,
415,Fungal infection, skinrash, nodalskineruptions, dischromicpatches,
416,Fungal infection,itching, nodalskineruptions, dischromicpatches,
417,Fungal infection,itching, skinrash, dischromicpatches,
418,Fungal infection,itching, skinrash, nodalskineruptions,
419,Fungal infection,itching, skinrash, nodalskineruptions, dischromicpatches
420,Allergy, continuoussneezing, shivering, chills, wateringfromeyes
421,Allergy, shivering, chills, wateringfromeyes,
422,Allergy, continuoussneezing, chills, wateringfromeyes,
423,Allergy, continuoussneezing, shivering, wateringfromeyes,
424,Allergy, continuoussneezing, shivering, chills,
425,Allergy, shivering, chills, wateringfromeyes,
426,Allergy, continuoussneezing, chills, wateringfromeyes,
427,Allergy, continuoussneezing, shivering, wateringfromeyes,
428,Allergy, continuoussneezing, shivering, chills,
429,Allergy, continuoussneezing, shivering, chills, wateringfromeyes
430,GERD, stomachpain, acidity, ulcersontongue, vomiting
431,GERD, stomachpain, ulcersontongue, vomiting, cough
432,GERD, stomachpain, acidity, vomiting, cough
433,GERD, stomachpain, acidity, ulcersontongue, cough
434,GERD, stomachpain, acidity, ulcersontongue, vomiting
435,GERD, stomachpain, acidity, ulcersontongue, vomiting
436,GERD, acidity, ulcersontongue, vomiting, cough
437,GERD, stomachpain, ulcersontongue, vomiting, cough
438,GERD, stomachpain, acidity, vomiting, cough
439,GERD, stomachpain, acidity, ulcersontongue, cough
440,Chronic cholestasis,itching, vomiting, yellowishskin, nausea
441,Chronic cholestasis, vomiting, yellowishskin, nausea, lossofappetite
442,Chronic cholestasis,itching, yellowishskin, nausea, lossofappetite
443,Chronic cholestasis,itching, vomiting, nausea, lossofappetite
444,Chronic cholestasis,itching, vomiting, yellowishskin, lossofappetite
445,Chronic cholestasis,itching, vomiting, yellowishskin, nausea
